# name								? FEC mfec  mfecchannel hubaddress portadd rocid FED channel  	roc#
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC1 A1 6    1       2          28        0      1    1261     27     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC2 A1 6    1       2          28        0      2    1261     27     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC3 A1 6    1       2          28        0      3    1261     27     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC4 A1 6    1       2          28        1      4    1261     27     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC5 A1 6    1       2          28        1      5    1261     27     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC6 A1 6    1       2          28        1      6    1261     27     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC7 A1 6    1       2          28        1      7    1261     27     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC8 A2 6    1       2          28        2      8    1261     28     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC9 A2 6    1       2          28        2      9    1261     28     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC10 A2 6    1       2          28        2      10    1261     28     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC11 A2 6    1       2          28        2      11    1261     28     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC12 A2 6    1       2          28        3      12    1261     28     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC13 A2 6    1       2          28        3      13    1261     28     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC14 A2 6    1       2          28        3      14    1261     28     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD4_ROC15 A2 6    1       2          28        3      15    1261     28     7
BPix_BmO_SEC1_LYR3_LDR2F_MOD1_ROC0 A1 6    1       2          27        0      0    1262     5     0
BPix_BmO_SEC1_LYR3_LDR2F_MOD1_ROC1 A1 6    1       2          27        0      1    1262     5     1
BPix_BmO_SEC1_LYR3_LDR2F_MOD1_ROC2 A1 6    1       2          27        0      2    1262     5     2
BPix_BmO_SEC1_LYR3_LDR2F_MOD1_ROC3 A1 6    1       2          27        0      3    1262     5     3
BPix_BmO_SEC1_LYR3_LDR2F_MOD1_ROC4 A1 6    1       2          27        1      4    1262     5     4
